Personaje,Descripción
Bob Esponja Pantalones Cuadrados,"Bob Esponja es una esponja de mar con forma rectangular. Es de color amarillo claro con un contorno verde oliva claro. En episodios anteriores, es más ancho cerca de la parte superior y se vuelve más delgado hacia abajo, similar al de un trapecio. Sin embargo, en los episodios más recientes, tiene una forma cuadrada más regular. Bob Esponja tiene poros de color verde oliva claro, hoyuelos con tres pecas en cada mejilla, una boca grande con dos dientes delanteros prominentes, una nariz larga y ligeramente curva y grandes ojos azul claro. Además, el color de sus ojos parece ser, de manera única, un tono de azul pacífico (o cerúleo Crayola) que complementa el fondo azul del océano. Además, tiene tres pestañas excepcionalmente anchas, expuestas y afeminadas en cada ojo, que a veces, durante los primeros planos en particular, se ha demostrado que son numerosas pestañas similares a las de un humano, que se destacan mejor en ""Don Cangrejo Instructor ""cuando se le ve respirando con dificultad durante un primer plano. Aunque rara vez se ve en la serie, tiene el cabello amarillo claro que va de la mano con el color de su piel, como se ve en su licencia de conducir y en el episodio ""La Esponja que Podía Volar."" Sin embargo, en el episodio ""Vídeo de Entrenamiento del Crustáceo Cascarudo,"" en cambio, tiene un simple mechón de cabello negro.
Por lo general, usa una camisa blanca con una corbata rojo escarlata, zapatos de cuero negro con cordones blancos, calcetines blancos con rayas azules y rojas y pantalones rectangulares marrones con un cinturón negro. Mientras trabaja en el Crustáceo Cascarudo, usa un sombrero alto y blanco con una pequeña ilustración de un ancla azul como uniforme. Bob Esponja generalmente duerme en calzoncillos, y en otras ocasiones, comenzando con temporada 5, pijamas. Sin embargo, ocasionalmente duerme con todo su atuendo, lo cual era más común en las temporadas anteriores del programa.
Aunque Bob Esponja siempre ha sido expresado por Tom Kenny, su voz ha cambiado a lo largo de la serie; su voz es más baja de lo normal en temporada 1; después de la primera película, su voz se vuelve un poco más aguda. En la temporada 8, su voz se vuelve más grave una vez más.
Aunque es una esponja de mar, tiene piernas y puede moverse, al igual que las otras esponjas del programa. Esto se señala en ""Tuve un Accidente,"" cuando dice que se quedará en su casa para siempre y que ni siquiera debería haber estado caminando porque es una esponja."
Patricio Estrella,"Es una estrella de mar de color rosa, el mejor amigo de Bob Esponja junto con Arenita Mejillas. Usa un bañador verde con dibujos de flores y no usa camisa aunque usa un traje marrón en sus momentos especiales y para dormir esta en ropa interior y usa un gorro verde pálido. No trabaja, ni tiene ninguna mascota, al contrario que su amigo Bob. Tiene una personalidad lenta, un poco torpe y le cuesta entender las cosas (de hecho, en un episodio, confundió a sus padres con unos impostores durante todo el capítulo), sin embargo en algunos episodios sorprende demostrando ser más creativo, atento y sarcástico que Bob en muchas ocasiones. Está enamorado de la princesa Mindy. Es muy noble.
 Vive en Fondo de Bikini junto a sus amigos, es vecino de Bob Esponja y Calamardo, su casa es una inmensa roca y está hecha completamente de arena. De alguna manera, siempre está dispuesto a dar un buen consejo a Bob, pero la mayoría de veces el consejo o lo hace peor o no ayuda en nada. Como en el episodio en que Bob Esponja se enferma de la ""Peste"". Patricio le cuenta que el doctor es malo, pero al final es muy bueno y le regala una paleta.
Aunque se dice que no trabaja, se le ve trabajando en el Crustáceo Cascarudo durante un día en el episodio donde gana un trofeo.
Patricio tiene el premio por no hacer nada durante más tiempo que nadie y busca seguir invicto en ese título.
Patricio es una estrella del deporte también participó a las Olimpiadas De Freidores
Sus padres son muy parecidos a él
Padres De Patricio
, ellos salieron en un capítulo donde venían a visitar a su hijo para que patricio no pareciese tonto, Bob Esponja fingió estupidez pero resulta que ellos no eran los padres de Patricio, sino unos desconocidos despistados, al final aparecen los verdaderos padres (los de la foto).
"
Calamardo Tentáculos,"Calamardo Tentáculos es un personaje principal de Bob Esponja. Calamardo es un pulpo que vive en un moái como casa. Es vecino de Bob Esponja y Patricio Estrella.
Es amargado y de un carácter pesimista. Aunque casi siempre está de mal humor, a veces suele comportarse de manera muy despreciable. Es sarcástico en sus comentarios, los cuales tratan de herir a Bob y/o Patricio. A pesar de que ellos dos lo tratan como a uno más de la pandilla, Calamardo los aborrece e incluso le sucede algo debido a la causa de los descuidos de Bob Esponja y Patricio, en los que Calamardo siempre acaba mal. Es un personaje muy culto y que está obsesionado con triunfar como músico y en algunas ocasiones como pintor y bailarín.
Es compañero de trabajo de Bob, en el Crustáceo Cascarudo (Crustáceo Crujiente en España), restaurante de comida rápida, donde trabaja como cajero con un pésimo servicio a los clientes, tales como tirar las bandejas en las mesas o burlándose de los clientes por comer allí o porque tardan en decidir la comida. Es un artista contemporáneo que pinta retratos o esculturas de él mismo, las cuáles decoran su casa. En un capítulo se llegó a nombrar el número exacto de cuadros que decoraban su casa En sus ratos libres toca el clarinete y sueña con llegar a convertirse en un gran músico. Calamardo tiene a su archirrival desde la secundaria, Calamarino, y es alérgico a las bayas marinas.
"
Arenita Mejillas,"Arenita Mejillas (Sandy Cheeks en inglés) en un personaje principal de Bob Esponja. Ella es una ardilla que le gustan los deportes extremos y la ciencia.

Su nombre real es Sandra, aunque es llamada Sandy por sus amigos (traducido al español como Arenita). Ella es originaria de Texas y está orgullosa de serlo, siendo objeto de burlas por su condición de animal terrestre bajo el agua. Es la mejor amiga de Patricio y Bob Esponja. Por ser un animal terrestre, debe usar un traje y un casco especial para respirar y vivir bajo el agua. Su traje es similar al de un astronauta. Arenita vive en un domo hecho de vidrio que soporta grandes presiones de agua, similar a un iglú, dentro de él hay un ecosistema lleno de césped y un gran árbol, creando el hábitat normal de una ardilla. En el episodio ""Atrapados en el Congelador"" se revela que Bob Esponja y Arenita están casados (ya que en el episodio era una obra de teatro se convierte en realidad cuando el padre dice no sabía que era una obra). En inglés su voz la da Caloryn Lawrence, mientras que en España, Montse Herranz se encarga de doblar a Arenita. En Latinoamérica es doblada por Mercedes Prato durante la primera temporada, su segunda voz se la dio Anabella Silva desde la 2º temporada hasta la cuarta cuando fue reemplazada por Evelyn Pajares durante la 5º temporada y desde la 6º temporada es doblada nuevamente por Anabella Silva.
"
Eugenio H. Cangrejo,"Don Eugenio H. Cangrejo (normalmente llamado Señor Cangrejo en España o Don Cangrejo en Hispanoamérica) es un personaje principal de la serie de televisión Bob Esponja. Vive en un ancla, austeramente decorada, con su hija ballena Perlita. Es el novio de la Señora Puff.

Su nombre completo es Eugene Harold Cangrejo y es el jefe de Bob Esponja y el dueño del restaurante ""El Crustáceo Cascarudo"" traducido del inglés Krusty Krab. Lo más importante, hasta en una forma obsesiva, para él es el dinero; frecuentemente suma billetes, saca cuentas o busca alguna manera de conseguir dinero, siendo esta no todas las veces en forma justa. Don Cangrejo es de color rojo y tiene la caracterización de una persona madura, que tiene su futuro resuelto por poseer el restaurante más exitoso del Fondo de Bikini.
En su restaurante, únicamente tiene 2 empleados: Bob Esponja, quien es el cocinero de las Cangreburgers, y Calamardo que es el cajero del restaurante. A veces les trata mal, cuando su avaricia le gana, y les llega a cobrar dinero por hacer cosas que no son parte de su trabajo, como hacerse el nudo de las corbatas y distraerse
Se escandaliza tremendamente cuando oye que las monedas en la caja registradora se caen por accidente, cuando Calamardo les devuelve su cambio a los clientes, o cuando las ganancias bajan tres dólares en un mes. Hace hasta lo imposible para ganar clientes si le faltan (tal como ofrecer cosas gratis, hacer un show de talentos, incluso pintar la carne de las hamburguesas).
A pesar de que Bob Esponja logra desesperarlo fácilmente, a Don Cangrejo le encanta tener a Bob Esponja como empleado, ya que él puede trabajar mucho por poco sueldo; por eso en ocasiones Don Cangrejo hace el rol de protector de Bob, y surge entre ambos personajes una especie de relación padre-hijo, siendo Eugene el padre y Bob Esponja el hijo.
Don Cangrejo odia a Sheldon J. Plankton, su rival en los negocios y dueño de ""Balde de Carnada"". Plankton y su computadora Karen siempre compiten contra Krabs e intentan robar su fórmula secreta para la Cangreburger. En el capítulo ¿Amigos o Enemigos? se descubre que se peleaban porque querían la Cangreburger perfecta.
Don Cangrejo nunca comentó sobre su esposa verdadera. La madre de Don Cangrejo, Doña Cangrejo, vive en otra ancla más bonita, pintada de color rosa.
A Don Cangrejo, su codicia, tacañería y avaricia, muchas veces lo ha llevado a la enfermedad, a tal punto de que cuando no tenía su colchón viejo lleno de dinero se desmayó y lo llevaron de emergencia al hospital y otra vez fue llevado, cuando sus tenazas quedaron atrapadas en el tubo del drenaje por no dejar ir un centavo.
Tiene a un gusano como mascota, a quien él llama ""Señor Doodoo"". Apareció en ""El cohete de Arenita"" ,en ""Vendiéndolo todo"" Y ""Como lo vio en televisión"". Lo pasea por el vecindario donde habita.
"
Sheldon J. Plankton,"Sheldon J. Plankton, o simplemente Plankton, es uno de los dos antagonistas principales de Bob Esponja. Él y su computadora consciente, Karen, siempre planean robar la receta de la Cangreburger de Don Cangrejo.

Él es expresado por Doug Lawrence. Este personaje se ve en las películas, así como videojuegos, y otros medios de comunicación basada en la serie. Además, ha sido presentado en un sinnúmero de juguetes, juegos, muñecos y otros artículos de la mercancía populares.
El archienemigo de Don Cangrejo, es un sujeto pequeño pero con un carácter muy fuerte. El dueño del restaurante ""Balde de Carnada"", Plancton, tiene como objetivo en la vida robarle la receta secreta de las hamburguesas de cangrejo a ""El Crustáceo Cascarudo"" y así, poder robarle también sus clientes. Si alguna vez es exitoso, serán los primeros clientes que haya tenido."
Karen Plankton,"Karen Plankton es uno de los dos principales antagonistas de Bob Esponja. Es una computadora consciente que es la mejor amiga, compañera y esposa de Plankton. Ella es el sistema informático principal del laboratorio de su esposo, y suele ser la que le aconseja sobre como hacer sus planes (aunque Plankton no la escucha y siempre le sale todo mal). Su debut fue en el episodio ""Plankton!"".

En la película, Plankton dice que ella aceptó ser su esposa, ella replica a esto diciendo nunca estuvo de acuerdo. Karen solía aparece en la pantalla grande del laboratorio de Plankton, pero en los episodios más nuevos aparece andando sobre cuatro ruedas.
La relación que tiene con Plankton es muy agitada. Plankton no la considera su alma gemela y los dos discuten con frecuencia. Karen piensa que el primer nombre de Plankton es divertido: Sheldon, como se muestra en ""Plankton's Army"". A pesar de sus diferencias, Plankton ha dicho que casarse con Karen fue lo mejor que le ha pasado, después del fallo del plan Z.
Karen es una Marc 2 UNIVAC Excedente con 256 gigabytes de RAM, y se ha mencionado que era un sistema de seguridad antes de casarse con Plankton. En el episodio ""Goo Goo Gas"", cuando Plankton lanza un gas goo goo a Karen, ella se convierte en una calculadora. En el episodio ""Single Cell Anniversary"", Plankton le canta a Karen una serenata por su aniversario de boda.
"
Perlita Cangrejo,"Perla ""Perlita"" Cangrejo es un personaje principal de Bob Esponja. Es una ballena adolescente y la hija de Don Cangrejo. Perla es una ballena con el pelo rubio recogido en una coleta constante, grandes ojos azules y una rectangular cabeza grande Ella normalmente lleva una camisa rosa con una carta de color rosa oscuro P, que significa perla, así como una falda de color rosa oscuro y botas blancas. Los episodios de ""The Chaperone"" y ""Ballena de un cumpleaños"" a su función con un vestido rosa de luz y una tiara en. Cuando en este conjunto, el titular de pelo que mantiene el pelo en una cola de caballo cambia de color de rosa oscuro a la luz de color rosa. Ella casi siempre tiene en la barra de labios de color rosa-rojizo en forma de un corazón en su 'labios'.

En "" La bota dominante"", se demuestra que ella hace, de hecho, tienen los labios. La personalidad de Perla es el de la adolescente arquetípico. Ella es popular en la escuela, y disfruta de salir con otras personas como ella, ir de compras en el centro comercial, hablando de ""a quien le gusta que"", y mantener una buena reputación en la escuela como ""coral"". (""Coral"" es la versión submarina del fresco que salió cuando Don Cangrejo empezaron a decir ""coral"" de ser ""jóvenes"" de nuevo) En los primeros episodios de perlas parece hacer cosas adolescentes no deberían hacer, tales como reuniones de té, pero más tarde, ella comienza a actuar más y más como un adolescente como su personaje se hizo más definido."
Sra. Puff,"La Señora Puff es un personaje principal de Bob Esponja. Es la maestra de la Escuela de Botes de la Sra. Puff. Bob ha asistido a la escuela desde su apertura, y ha fallado a su examen final de conducción en incontables ocasiones, a menudo hiriendo a la señora Puff y/o provocando daños en la escuela en el proceso. Sra. Puff es un pez globo de color canela con aletas rechonchas azul para las extremidades. Ella tiene el pelo amarillo, y lleva una camisa azul con lazos amarillos, un sombrero azul, una falda roja y zapatos rojos. Ella es muy grande, pero no tiene sobrepeso, ya que su tamaño es una característica de su especie."
Gary el Caracol,"Gary el Caracol es un personaje principal de Bob Esponja. Es la querida mascota de Bob Esponja, aunque su comportamiento se asemeja en varios aspectos al de un gato. Se trata de un caracol marino inteligente y domesticado, que ofrece soluciones elegantes a cualquier dilema que se le plantea a su dueño. Aunque discrepa con algunas ideas de Bob Esponja, se esfuerza por advertirle de peligros.Este personaje maúlla variando entonaciones e intensidades de sonidos para comunicarse con Bob Esponja. Le gusta fingir que es Calamardo, jugar con música y leer libros. Su distracción preferida es comer un alimento para caracoles llamado Snail-Po. Goza leyendo literatura clásica, especialmente las obras de Emily Dickinson. Es un caracol poeta auto-educado. Gary tiene su propia cama, rueda de ejercicios y tazones con agua y alimento. Sabe tocar el violín, atarse los zapatos y pagar las cuentas. Es un animal inquisitivo, curioso y siempre está listo para aprender algo nuevo. Cada mañana sirve el desayuno a Bob, antes de que éste salga a trabajar. También atiende el teléfono. En algunos episodios se ha revelado que el interior de su caparazón es un caos. En un episodio Gary tenía un diamante en su caparazón."